turbidity,source,taste,odour,colour,result
Low,Lake,Dirty,Earthen,Black,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,Earthen,Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   iron  content
Low,Lake,Dirty,Earthen,Orange,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Dirty,Earthen,Cloudy-White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Dirty,Earthen,Yellow,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   natural dissolved organic acids such as tannins and lignins
Low,Lake,Dirty,Grassy,Red-Brown,As per given details the water is in the stage of decomposition of algae
Low,Lake,Dirty,Grassy,Black-Dark Brownn,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste . And manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,Grassy,Yellow-Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste iron And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Dirty,Grassy,Blue-Green,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  And  contact of  water  with copper
Low,Lake,Dirty,Grassy,White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste presence of foaming agents
Low,Lake,Dirty,Grassy,Black,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,Grassy,Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   iron  content
Low,Lake,Dirty,Grassy,Orange,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Dirty,Grassy,Cloudy-White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Dirty,Grassy,Yellow,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   natural dissolved organic acids such as tannins and lignins
Low,Lake,Dirty,MOldy,Red-Brown,As per given details the water is in the stage of decomposition of algae
Low,Lake,Dirty,MOldy,Black-Dark Brownn,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste . And manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,MOldy,Yellow-Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste iron And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Dirty,MOldy,Blue-Green,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  And  contact of  water  with copper
Low,Lake,Dirty,MOldy,White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste presence of foaming agents
Low,Lake,Dirty,MOldy,Black,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,MOldy,Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   iron  content
Low,Lake,Dirty,MOldy,Orange,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Dirty,MOldy,Cloudy-White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Dirty,MOldy,Yellow,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   natural dissolved organic acids such as tannins and lignins
Low,Lake,Dirty,Terpentain,Red-Brown,As per given details the water is in the stage of decomposition of algae and  presence of Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Dirty,Terpentain,Black-Dark Brownn,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste . And manganese in drinking water and  presence of  organic matter Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Dirty,Terpentain,Yellow-Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste iron And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition   Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Dirty,Terpentain,Blue-Green,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  presence of Petroleum gasolinefuel and  hydro corbons  products. And  contact of  water  with copper
Low,Lake,Dirty,Terpentain,White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste and presence of foaming agents Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Dirty,Terpentain,Black,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste manganese in drinking water and  presence of  organic matter Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Dirty,Terpentain,Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   iron  content and  presence of Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Dirty,Terpentain,Orange,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  presence of Petroleum gasolinefuel and  hydro corbons  products.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Dirty,Terpentain,Cloudy-White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  presence of Petroleum gasolinefuel and  hydro corbons  products may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Dirty,Terpentain,Yellow,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   presence of Petroleum gasolinefuel and  hydro corbons  products natural dissolved organic acids such as tannins and lignins
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Red-Brown,As per given details the water is in the stage of decomposition of algae  presence of  Gasoline fuel petrol hydro carbons solvent odors .
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Black-Dark Brownn,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste presence of  Gasoline fuel petrol hydro carbons solvent odors . And manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Yellow-Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  iron content  presence of  Gasoline fuel petrol hydro carbons solvent odors . And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Blue-Green,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste   VAnd  contact of  water  with copper
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste presence of  Gasoline fuel petrol hydro carbons solvent odors foaming agents
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Black,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  presence of  Gasoline fuel petrol hydro carbons solvent odors . And manganese in drinking water and  presence of  organic matter
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Brown,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  presence of  Gasoline fuel petrol hydro carbons solvent odors . And   iron  content
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Orange,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste presence of  Gasoline fuel petrol hydro carbons solvent odors . And natural dissolved organic matter (e.g. tannins)
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Cloudy-White,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  may be    presence of     Foaming     Agents air bubbles  Gasoline fuel petrol hydro carbons solvent odors
Low,Lake,Dirty,Petroleum-Gasoline-Fuel-Sovent Odour,Yellow,As   per given details the water consists of Geosim  which is also called algae bloom   which causes dirty  taste  presence of   natural dissolved organic acids such as tannins and lignins Gasoline fuel petrol hydro carbons solvent odors
Low,Lake,Medical,Rotten Egg,Red-Brown,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  .  And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Rotten Egg,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  .And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Rotten Egg,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Rotten Egg,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  .And  contact of  water  with copper
Low,Lake,Medical,Rotten Egg,White,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And  presence of foaming agents
Low,Lake,Medical,Rotten Egg,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water  sulfur bacteria or hydrogen sulfide  .  And  presence of  organic matter
Low,Lake,Medical,Rotten Egg,Brown,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And  iron  content
Low,Lake,Medical,Rotten Egg,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste sulfur bacteria or hydrogen sulfide  .And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Rotten Egg,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Rotten Egg,Yellow,As  per given details  the water consists of excess zinc and chemicals sulfur bacteria or hydrogen sulfide  . And natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Sulphur,Red-Brown,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  .  And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Sulphur,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  .And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Sulphur,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Sulphur,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  .And  contact of  water  with copper
Low,Lake,Medical,Sulphur,White,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And  presence of foaming agents
Low,Lake,Medical,Sulphur,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water  sulfur bacteria or hydrogen sulfide  .  And  presence of  organic matter
Low,Lake,Medical,Sulphur,Brown,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And  iron  content
Low,Lake,Medical,Sulphur,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste sulfur bacteria or hydrogen sulfide  .And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Sulphur,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  sulfur bacteria or hydrogen sulfide  . And  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Sulphur,Yellow,As  per given details  the water consists of excess zinc and chemicals sulfur bacteria or hydrogen sulfide  . And natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Fishy,Red-Brown,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) . And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Fishy,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) .And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Fishy,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) .And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Fishy,Blue-Green,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) . And  contact of  water  with copper
Low,Lake,Medical,Fishy,White,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) . And presence of foaming agents
Low,Lake,Medical,Fishy,Black,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) . And  manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Fishy,Brown,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) .And   iron  content
Low,Lake,Medical,Fishy,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste    Chloramine  ( combination of chlorine and ammonia) ..And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Fishy,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) .  And  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Fishy,Yellow,As  per given details  the water consists of excess zinc and chemicals    Chloramine  ( combination of chlorine and ammonia) .natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Wet Dog Odour,Red-Brown,As  per given details  the water consists of excess zinc and chemicals   And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Wet Dog Odour,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Wet Dog Odour,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Wet Dog Odour,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  And  contact of  water  with copper
Low,Lake,Medical,Wet Dog Odour,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents
Low,Lake,Medical,Wet Dog Odour,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Wet Dog Odour,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content
Low,Lake,Medical,Wet Dog Odour,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Wet Dog Odour,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Wet Dog Odour,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Sewage Odour,Red-Brown,As  per given details  the water consists of excess zinc and chemicals   presence of  bacteria that come from food soap or other materials . And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Sewage Odour,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  presence of  bacteria that come from food soap or other materials .And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Sewage Odour,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  presence of  bacteria that come from food soap or other materials .And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Sewage Odour,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  presence of  bacteria that come from food soap or other materials .And  contact of  water  with copper
Low,Lake,Medical,Sewage Odour,White,As  per given details  the water consists of excess zinc and chemicals  presence of  bacteria that come from food soap or other materials and  foaming agents
Low,Lake,Medical,Sewage Odour,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  bacteria that come from food soap or other materials and organic matter
Low,Lake,Medical,Sewage Odour,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content    and  presence of  bacteria that come from food soap or other materials .
Low,Lake,Medical,Sewage Odour,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste presence of  bacteria that come from food soap or other materials . And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Sewage Odour,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be  presence of  bacteria that come from food soap or other materials Foaming     Agents  and air bubbles
Low,Lake,Medical,Sewage Odour,Yellow,As  per given details  the water consists of excess zinc and chemicals  presence of  bacteria that come from food soap or other materials  and  natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Bleach or chlorine,Red-Brown,As  per given details  the water consists of excess zinc and chemicals   And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Bleach or chlorine,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Bleach or chlorine,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Bleach or chlorine,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  And  contact of  water  with copper
Low,Lake,Medical,Bleach or chlorine,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents
Low,Lake,Medical,Bleach or chlorine,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Bleach or chlorine,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content
Low,Lake,Medical,Bleach or chlorine,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Bleach or chlorine,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Bleach or chlorine,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Musty,Red-Brown,As  per given details  the water consists of excess zinc and chemicals losing its fresh ness due to decomposition organanic matter  And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Musty,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water andlosing its fresh ness due to decomposition organanic matter
Low,Lake,Medical,Musty,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  losing its fresh ness due to decomposition organanic matterand  large amount sediment deposition
Low,Lake,Medical,Musty,Blue-Green,As  per given details  the water consists of excess zinc and chemicals losing its fresh ness due to decomposition organanic matter. And  contact of  water  with copper
Low,Lake,Medical,Musty,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents losing its fresh ness due to decomposition organanic matter.
Low,Lake,Medical,Musty,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  losing its fresh ness due to decomposition organanic matter.
Low,Lake,Medical,Musty,Brown,As  per given details  the water consists of excess zinc and chemicals  losing its fresh ness due to decomposition organanic matter and    iron  content
Low,Lake,Medical,Musty,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste. And losing its fresh ness due to decomposition organanic matter
Low,Lake,Medical,Musty,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals losing its fresh ness due to decomposition organanic matter.  and  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Musty,Yellow,As  per given details  the water consists of excess zinc and chemicals  and losing its fresh ness due to decomposition organanic matter
Low,Lake,Medical,Earthen,Red-Brown,As  per given details  the water consists of excess zinc and chemicals   And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Earthen,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Earthen,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Earthen,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  And  contact of  water  with copper
Low,Lake,Medical,Earthen,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents
Low,Lake,Medical,Earthen,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Earthen,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content
Low,Lake,Medical,Earthen,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Earthen,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Earthen,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Grassy,Red-Brown,As  per given details  the water consists of excess zinc and chemicals   And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Grassy,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Grassy,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Grassy,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  And  contact of  water  with copper
Low,Lake,Medical,Grassy,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents
Low,Lake,Medical,Grassy,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Grassy,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content
Low,Lake,Medical,Grassy,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Grassy,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Grassy,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Musty,Red-Brown,As  per given details  the water consists of excess zinc and chemicals   And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Musty,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Musty,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Musty,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  And  contact of  water  with copper
Low,Lake,Medical,Musty,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents
Low,Lake,Medical,Musty,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Musty,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content
Low,Lake,Medical,Musty,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Musty,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of     Foaming     Agents  and air bubbles
Low,Lake,Medical,Musty,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and lignins
Low,Lake,Medical,Terpentain,Red-Brown,As  per given details  the water consists of excess zinc and chemicals  presence of Petroleum gasolinefuel and  hydro corbons  products . And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Terpentain,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals  And manganese in drinking water and  presence of  organic matter Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Terpentain,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals  presence of Petroleum gasolinefuel  hydro corbons  products . And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Terpentain,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  presence of Petroleum gasolinefuel and  hydro corbons  products  And  contact of  water  with copper
Low,Lake,Medical,Terpentain,White,As  per given details  the water consists of excess zinc and chemicals  presence of foaming agents Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Terpentain,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and  presence of  organic matter Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Terpentain,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content  and presence of Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Terpentain,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste.And natural dissolved organic matter (e.g. tannins)Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Terpentain,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of     Foaming     Agents   air bubbles Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Terpentain,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and ligninsand  presence of Petroleum gasolinefuel and  hydro corbons  products
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Red-Brown,As  per given details  the water consists of excess zinc and chemicals    presence of  Gasoline fuel petrol hydro carbons solvent odors . And it is in stage  of Before or during decomposition algae
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Black-Dark Brownn,As  per given details  the water consists of excess zinc and chemicals   presence of  Gasoline fuel petrol hydro carbons solvent odors . And manganese in drinking water and  presence of  organic matter
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Yellow-Brown,As  per given details  the water consists of excess zinc and chemicals presence of  Gasoline fuel petrol hydro carbons solvent odors .And Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Blue-Green,As  per given details  the water consists of excess zinc and chemicals  presence of  Gasoline fuel petrol hydro carbons solvent odors .  And  contact of  water  with copper
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,White,As  per given details  the water consists of excess zinc and chemicals  presence of  Gasoline fuel petrol hydro carbons solvent odors  and  foaming agents
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Black,As  per given details  the water consists of excess zinc and chemicals  manganese in drinking water and presence of  Gasoline fuel petrol hydro carbons solvent odors organic matter
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Brown,As  per given details  the water consists of excess zinc and chemicals     iron  content presence of  Gasoline fuel petrol hydro carbons solvent odors .
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Orange,As  per given details  the water consists of excess zinc and chemicals bloom   which causes dirty  taste presence of  Gasoline fuel petrol hydro carbons solvent odors .And natural dissolved organic matter (e.g. tannins)
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Cloudy-White,As  per given details  the water consists of excess zinc and chemicals  may be    presence of  Gasoline fuel petrol hydro carbons solvent odors Foaming     Agents  and air bubbles
Low,Lake,Medical,Petroleum-Gasoline-Fuel-Sovent Odour,Yellow,As  per given details  the water consists of excess zinc and chemicals  natural dissolved organic acids such as tannins and lignins and presence of  Gasoline fuel petrol hydro carbons solvent odors .
Low,Lake,Bitter,Rotten Egg,Red-Brown,As per given details the water is in the stage of decomposition of algae  and presence of sulfur bacteria or hydrogen sulfide   .
Low,Lake,Bitter,Rotten Egg,Black-Dark Brownn,As per given details   your water consists  of  geosmin a fickle compound made up of soil and plant bacteria or algae blooms.  sulfur bacteria or hydrogen sulfide  .And manganese in drinking water and  presence of  organic matter
